Instruction dimension field analysis
generated_at_utc=2026-03-01T10:49:09+00:00
chunk_index=0
entry_count=6
  dim=1024 size=2608 reloc=2 path=traces/dense-template-1024x1024-20260222T062017Z/extract/package_000/serialized_executable_001.bin
  dim=1536 size=2096 reloc=2 path=/tmp/dense-1536/extract/package_000/serialized_executable_001.bin
  dim=1792 size=2352 reloc=2 path=/tmp/dense-1792/extract/package_000/serialized_executable_001.bin
  dim=2048 size=2608 reloc=2 path=traces/dense-template-2048x2048-20260222T062027Z/extract/package_000/serialized_executable_001.bin
  dim=2304 size=2096 reloc=2 path=traces/dense-template-2304x2304-20260222T062229Z/extract/package_000/serialized_executable_001.bin
  dim=2688 size=2352 reloc=2 path=traces/dense-template-2688x2688-20260222T062240Z/extract/package_000/serialized_executable_001.bin
pair_count=3
  pair=1024:2048 size=2608 changed=154 runs=121 reloc_overlap=0
  pair=1536:2304 size=2096 changed=187 runs=95 reloc_overlap=0
  pair=1792:2688 size=2352 changed=202 runs=127 reloc_overlap=0
intersection=78 union=297 intersection_reloc_overlap=0
top_offsets=40 (|corr_dim| >= 0.9)
  off=187 corr_dim=+0.990 corr_tiles=+0.990 uniq=6 mono=True vals=[1024:4, 1536:9, 1792:12, 2048:16, 2304:20, 2688:27]
  off=803 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=739 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=675 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=611 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=547 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=483 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=419 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=355 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=291 corr_dim=-0.970 corr_tiles=-0.970 uniq=5 mono=True vals=[1024:255, 1536:253, 1792:252, 2048:252, 2304:249, 2688:248]
  off=999 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=935 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=871 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=807 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=743 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=679 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=615 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=551 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=487 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=423 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=359 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=295 corr_dim=-0.967 corr_tiles=-0.967 uniq=6 mono=True vals=[1024:254, 1536:250, 1792:249, 2048:248, 2304:242, 2688:240]
  off=250 corr_dim=+0.945 corr_tiles=+0.945 uniq=4 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:3]
  off=992 corr_dim=+0.938 corr_tiles=+0.938 uniq=3 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:2]
  off=928 corr_dim=+0.938 corr_tiles=+0.938 uniq=3 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:2]
  off=864 corr_dim=+0.938 corr_tiles=+0.938 uniq=3 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:2]
  off=800 corr_dim=+0.938 corr_tiles=+0.938 uniq=3 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:2]
  off=736 corr_dim=+0.938 corr_tiles=+0.938 uniq=3 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:2]
  off=672 corr_dim=+0.938 corr_tiles=+0.938 uniq=3 mono=True vals=[1024:0, 1536:1, 1792:1, 2048:1, 2304:2, 2688:2]
json_out=/tmp/instr-dim-pc-20260301.json
